,between_days,DataType,depYear,c_uniqueUnitID,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg
7,2011-02-21,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-22,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-23,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-24,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
1,2011-02-24,Aerial,2011,,42.10833333,-70.16667
1,2011-02-24,Zooplankton,2011,,41.97,-70.43
0,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-25,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-26,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-27,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-02-28,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-01,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-02,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-03,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-04,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
2,2011-03-04,Aerial,2011,,42.10833333,-70.16667
0,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-05,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-06,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-07,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-08,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
3,2011-03-08,Aerial,2011,,42.10833333,-70.16667
0,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-09,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-10,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-11,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-12,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
0,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
1,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,41.8771,-70.254
2,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,41.8948,-70.4439
3,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,41.9334,-70.1859
4,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,41.9508,-70.3901
5,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,41.9711,-70.4765
6,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,41.9931,-70.2201
7,2011-03-13,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,41.8762,-70.3412
4,2011-03-13,Aerial,2011,,42.10833333,-70.16667
0,2011-03-14,Acoustic,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288
